ID,Description,PCA1,PCA2,Cluster
42,"Teachers in rural schools are often absent, affecting the quality of education.",-0.10945312877677613,0.0806422011521082,2
43,"Schools in flood-affected areas have not been repaired, disrupting education.",0.13725817333219584,-0.0137512001596996,1
44,"The examination system is outdated, and students rely on rote learning.",-0.10987162763809466,0.04406863471779794,1
45,There are not enough science laboratories in public schools.,-0.030218169505843825,-0.05943569294784764,1
46,Students from low-income families cannot afford books due to high costs.,-0.010896486337859059,0.08120963239999723,0
47,Private schools keep increasing fees without providing better facilities.,-0.028296992141359764,0.03238753056684174,4
48,There is a shortage of qualified teachers in government schools.,-0.11247979175113695,0.24808108159234069,1
49,The literacy rate is dropping due to poor quality education in rural areas.,-0.057094112063596374,0.08506353410503927,2
50,"Schools lack proper security, increasing risks for students.",0.05458890285811522,0.4194487081443605,1
51,The outdated syllabus does not prepare students for modern jobs.,0.06137841743129156,0.04952199347628848,1
52,Several schools lack clean drinking water and proper toilets.,0.0663465498985346,0.17813550932123123,1
53,"Many schools do not have a playground, limiting sports activities for students.",0.4050414947210703,0.10173458925829568,1
54,Female students in conservative areas drop out due to a lack of transport facilities.,-0.03948493113760151,0.25804499379440676,1
55,"Cheating in exams is widespread, affecting the credibility of results.",-0.11003500273956765,0.018663624128191218,2
56,There is no proper career counseling in public schools.,-0.1204578977235595,0.16677796494053795,1
57,A lack of IT education leaves students unprepared for technological advancements.,-0.009949078121651864,0.3155022548393311,1
58,Many students cannot continue higher education due to financial constraints.,0.02800849705484799,0.14276241264099968,1
59,Students in rural areas face difficulty in accessing online education.,0.004056490935625663,0.09273583463524805,1
60,"There are reports of harassment cases in schools, and authorities fail to take action.",-0.1833825336509405,-0.08163506969249053,2
61,"The main roads in the city are full of potholes, causing accidents.",-0.10917817620162679,-0.007660668544625615,2
62,"Streetlights in residential areas do not work, increasing the risk of crime.",0.2953901431840276,-0.13594534992707474,0
63,"Drainage systems are poorly maintained, leading to urban flooding.",-0.038204248563516216,-0.06747279912901291,2
64,"Water supply is inconsistent, leaving people struggling for basic needs.",0.004713755610114649,0.04647531860023015,3
65,Gas shortages in winter create problems for households.,-0.013215322060748826,0.024387433636245088,1
66,"Electricity outages occur frequently, disrupting daily life.",-0.012614332124951267,-0.048330399062019455,2
67,"There is no proper waste disposal system, leading to garbage pile-ups.",-0.09321597029123145,0.14293407997759358,3
68,Poor urban planning has led to frequent traffic congestion.,-0.05696633066014825,-0.025923312205072508,2
69,"Construction projects remain incomplete for years, causing inconvenience.",-0.028129036415655687,0.015059145711149448,1
70,"Trees are being cut down without replantation, affecting the environment.",-0.10866175698909533,-0.08693909875825298,4
71,Open manholes in streets pose a danger to pedestrians and vehicles.,-0.085795788610396,-0.052876609249052006,3
72,"Public parks are not maintained, reducing recreational spaces.",-0.001495833813834224,-0.14521585412359198,0
73,Encroachments on roadsides create traffic bottlenecks.,-0.04214509292430862,-0.022552465656189288,2
74,Several bridges are in poor condition and may collapse without repair.,-0.11476582035469686,-0.1431472643833875,4
75,"There are frequent sewage overflows, making streets unhygienic.",-0.07393338776794178,-0.048343028588884236,3
76,"Bus stops do not have shelters, leaving passengers exposed to extreme weather.",0.35539074234728346,-0.06985673351893985,0
77,Public toilets are either non-existent or in terrible condition.,-0.094656451653409,-0.12374288313523232,2
78,The lack of footpaths forces pedestrians to walk on busy roads.,-0.08426638431098864,0.17669566601085893,2
79,Many residential areas still do not have proper road connectivity.,0.473849361112081,-0.07113605579972604,0
80,Government projects take years to complete due to inefficiency.,-0.03360358568265766,0.08403409592697886,2
81,"Garbage collection is irregular, making streets dirty.",-0.04302343491424369,0.012163570400089061,3
82,"Stray dogs are a serious problem, and the authorities are doing nothing.",-0.11271962234149138,-0.1318388627130746,2
83,"The city does not have enough public dustbins, leading to littering.",0.19371677680492175,-0.04908102483622773,2
84,Open sewage drains create a foul smell and health hazards.,-0.07343484492239212,-0.06402347808933667,2
85,Water contamination is causing diseases in urban areas.,0.0019890530027505213,-0.03473812153669296,3
86,"Vendors illegally occupy footpaths, blocking pedestrian movement.",-0.025569260106126885,-0.021964170456459733,4
87,Street vendors bribe officials to operate without regulations.,-0.024501752691548574,-0.04334923380643167,4
88,Poor sanitation leads to an increase in mosquitoes and dengue cases.,-0.14884469960172322,-0.15302074126373796,2
89,Noise pollution from illegal constructions disturbs residential areas.,0.10837550338817326,-0.08144948867356826,0
90,The lack of proper parking spaces creates congestion in markets.,-0.07645934537981569,0.22584058874967647,1
91,Municipal workers do not collect trash from many neighborhoods.,0.27414173406386305,-0.09345182608156523,0
92,Poor drainage after rain leaves roads waterlogged for days.,-0.030614350424144277,0.03320302678243219,1
93,"Many areas do not have street name signs, confusing visitors.",0.4680642730721308,-0.12193128947172942,0
94,Water leakage from pipelines wastes thousands of liters daily.,-0.005694803592773655,-0.012052706780342958,0
95,Unauthorized billboards make the city look cluttered.,-0.03436410884020082,-0.006877204271798611,2
96,Public buses are in terrible condition and often break down.,-0.14010947895800066,-0.16637574579139336,2
97,Some areas do not receive gas supply despite having connections.,0.28318562484797855,-0.12835540803239795,0
98,Street vendors leave behind a mess after closing their stalls.,-0.013947128074334075,-0.04269030869676803,4
99,The public transport system is outdated and inefficient.,-0.13746839869892946,-0.009198143207329387,3
100,"Local markets lack proper cleanliness, leading to pest problems.",0.0036747827212817163,0.20188584621572925,1
