Issue ID,Description
32,"In Lahore, many neighborhoods face issues with garbage collection. Trash piles up on the streets for days, and the local authorities fail to provide timely pickups, leading to unsanitary conditions."
33,"In Rawalpindi, garbage collection is sporadic, and many areas are filled with overflowing trash bins. The lack of proper waste management has led to poor hygiene and increased health risks in the community."
34,"In Faisalabad, cleanliness is a significant problem. Residents often complain about the accumulation of trash on streets and the absence of regular garbage collection. The lack of an efficient waste management system is eviden"
35,"In Sialkot, the streets are frequently littered with garbage, especially in busy markets. Local authorities seem indifferent to the problem, and residents are left to deal with the unpleasant conditions."
36,"In Islamabad, trash piles up on streets in certain neighborhoods due to irregular garbage collection. The authorities have been slow to address the issue, leading to growing frustration among residents."
37,"In Multan, the lack of a proper waste management system means that garbage is often dumped on the streets. People have to deal with unpleasant smells and the presence of pests in residential areas."
38,"In Peshawar, the cleanliness situation in busy areas like Saddar is getting worse. People throw trash everywhere, and the local authorities are not doing enough to clean the streets or provide proper waste disposal options."
39,"In Sukkur, residents complain about the state of cleanliness in their local neighborhoods. Trash can be seen on every street corner, and there’s no proper waste management system in place. The lack of cleanliness is affecting the quality of life."
40,"In Quetta, streets are filled with garbage, especially in areas like Hazara Town. There’s no regular collection service, and the situation is further complicated by the lack of proper disposal bins in the area."
41,"In Karachi, hospitals are overcrowded, and the shortage of medical staff is putting extra pressure on the system. Emergency rooms are full, and patients often have to wait for hours before receiving treatment."
42,"In Lahore, the public healthcare system is failing due to inadequate facilities and the high cost of medical treatments. People can’t afford private hospitals, and government hospitals are overcrowded with long waiting times."
43,"Rawalpindi is facing a shortage of essential medicines in local clinics and pharmacies. Many people are turning to the black market to buy medicines, which are often counterfeit or expired."
44,"In Quetta, healthcare facilities are scarce, and people often have to travel to Karachi or Lahore for specialized treatment. This is especially difficult for low-income families, who can’t afford the travel expenses."
45,"In Multan, healthcare services are insufficient for the growing population. Rural areas are particularly affected, as many residents don’t have access to proper healthcare or even basic medical supplies."
46,"In Peshawar, the lack of specialized healthcare facilities is pushing people to seek treatment in other cities. This is especially problematic for those who cannot afford the travel and treatment costs."
47,"In Faisalabad, local health clinics are often understaffed and lack the equipment necessary to provide quality care. The lack of resources and medical professionals makes it hard for people to get proper treatment."
48,"In Islamabad, many people are facing difficulty in accessing affordable healthcare services. Public hospitals are overburdened, and the cost of private healthcare is too high for many residents."
49,"In Sialkot, there’s a shortage of doctors in local healthcare centers. People often have to wait days to get an appointment, and in some cases, they are forced to go to larger cities for medical treatment."
50,"In Sukkur, hospitals and clinics are poorly equipped, and many patients complain about the lack of attention from medical staff. This is particularly problematic in rural areas, where healthcare access is even more limited."
51,"In Karachi, Dengue fever outbreaks occur every year, with many residents falling ill. Despite efforts to control the disease, there is still a lack of proper sanitation and awareness about prevention methods."
52,"In Lahore, there has been a rise in cases of malaria due to poor sanitation and standing water in various neighborhoods. The healthcare system is overwhelmed, and the spread of disease is affecting many families."
53,"In Rawalpindi, the spread of tuberculosis is becoming a growing concern. Many people do not have access to proper treatment, and there is little awareness about the disease in poorer neighborhoods."
54,"In Faisalabad, the spread of the seasonal flu has been rampant, with many residents seeking treatment at overcrowded clinics. Hospitals are struggling to provide care to all those affected."
55,"In Sialkot, residents are concerned about the increasing cases of Hepatitis due to unclean water sources. There’s a lack of awareness about the disease and how it spreads, which is making the situation worse."
56,"In Islamabad, cases of viral infections are rising rapidly, and local hospitals are struggling to keep up with the number of patients. There are long waiting times for treatment, and some people are forced to seek private care."
56,"In Islamabad, cases of viral infections are rising rapidly, and local hospitals are struggling to keep up with the number of patients. There are long waiting times for treatment, and some people are forced to seek private care."
57,"In Multan, there is a serious issue with waterborne diseases. The spread of cholera and diarrhea is causing concern, and many families do not have access to clean drinking water, which is contributing to the issue."
58,"In Peshawar, there are frequent outbreaks of viral infections like hepatitis and chickenpox. The public health system is stretched thin, and many people are not getting the care they need."
59,"In Quetta, the spread of diseases like Tuberculosis and Cholera is becoming a major concern due to poor sanitation and limited healthcare facilities. The government is failing to take adequate preventive measures."
60,"In Sukkur, there are regular reports of outbreaks of malaria and dengue. The lack of proper mosquito control measures and sanitation is contributing to the growing number of cases in the area."
61,"In Karachi, road safety is a major concern, with several accidents reported due to the lack of proper traffic signals and speed bumps in busy areas like Korangi. Pedestrians are often at risk, and drivers frequently ignore traffic laws."
62,"In Lahore, many public parks are poorly maintained, with broken benches and litter scattered around. The lack of proper maintenance means that these parks are no longer safe or enjoyable for families to visit."
63,"In Rawalpindi, power outages have become a frequent issue. Local neighborhoods often experience blackouts for several hours at a time, which causes inconvenience for residents who rely on electricity for work and basic needs."
64,"In Faisalabad, local markets are often overcrowded, and vendors set up stalls on the streets, blocking pedestrian traffic. The lack of proper market planning leads to dangerous situations, especially during peak shopping hours."
65,"In Sialkot, many residential areas experience severe water shortages, particularly during the summer. Long queues for water tankers are common, and families struggle to meet their daily water needs."
66,"In Islamabad, stray dogs have become a growing problem in certain neighborhoods. Residents are afraid to walk outside due to the threat of attacks, and the municipal authorities have been slow to address the issue."
67,"In Multan, local roads are becoming increasingly unsafe due to speeding vehicles. Many accidents occur on busy roads, and there’s a lack of speed enforcement, causing fear among residents traveling these routes."
68,"In Peshawar, many government buildings, such as schools and hospitals, suffer from poor infrastructure. Leaking roofs, broken doors, and dilapidated classrooms make it difficult for students and staff to work in a safe environment."
69,"In Quetta, many rural areas lack proper healthcare facilities. Villagers often have to travel long distances to access medical treatment, which is not only time-consuming but also expensive for families living in poverty."
70,"In Sukkur, there’s a noticeable shortage of public transport options. People have to rely on private cars or risky modes of transport, making commuting difficult and costly for those without vehicles."
71,"In Karachi, the issue of child labor is widespread in many neighborhoods. Children can be seen working in shops, factories, and on the streets, depriving them of an education and a chance to have a better future."
72,"In Lahore, air pollution is a growing concern, particularly in industrial areas. The burning of fossil fuels and the high number of vehicles on the road contribute to severe smog, which is affecting the health of residents."
73,"In Rawalpindi, the city’s sewage system is outdated, causing wastewater to overflow in many areas. This leads to unsanitary conditions, especially after heavy rains, when roads become flooded with contaminated water."
74,"In Faisalabad, many public schools lack access to basic learning resources, such as computers and projectors. Students are forced to rely on outdated textbooks, and the lack of modern facilities hinders their ability to learn."
75,"In Sialkot, the rise in food contamination is a serious issue. Many local food markets have poor hygiene standards, and there have been reports of foodborne illnesses affecting residents due to unsanitary conditions."
76,"In Islamabad, the issue of water contamination is affecting several neighborhoods. People have reported cases of dirty and contaminated water, which has led to an increase in waterborne diseases in the area."
77,"In Multan, the quality of education in public schools is declining due to a shortage of qualified teachers. Many schools are unable to fill teaching vacancies, which is affecting the learning outcomes of students."
78,"In Peshawar, the rise in drug use among youth is a concerning issue. Many young people are turning to narcotics as a coping mechanism, and the local authorities are struggling to combat this growing problem."
79,"In Quetta, the problem of illegal mining is rampant. Local authorities have not taken strong action against illegal miners, and the environmental damage caused by unregulated mining activities is worsening the region's conditions."
80,"In Sukkur, the lack of public libraries makes it difficult for students and residents to access books and study materials. This is limiting their access to knowledge and hindering educational progress in the city."
